2025-05-11 15:57:50 [main] INFO  MRFOOptimizer - Iteration: 0, global best solution: [0.24111826672692693, 0.11103601892582837], fitness: 1.9467677113118254
2025-05-11 15:57:50 [main] INFO  MRFOOptimizer - Iteration: 1, global best solution: [-0.003522803314359696, 0.00925865085353017], fitness: 0.030630147342393332
2025-05-11 15:57:50 [main] INFO  MRFOOptimizer - Iteration: 2, global best solution: [-0.003522803314359696, 0.00925865085353017], fitness: 0.030630147342393332
2025-05-11 15:57:50 [main] INFO  MRFOOptimizer - Iteration: 3, global best solution: [-0.003522803314359696, 0.00925865085353017], fitness: 0.030630147342393332
2025-05-11 15:57:50 [main] INFO  MRFOOptimizer - Iteration: 4, global best solution: [-0.003522803314359696, 0.00925865085353017], fitness: 0.030630147342393332
2025-05-11 15:57:50 [main] INFO  MRFOOptimizer - Iteration: 5, global best solution: [-0.003522803314359696, 0.00925865085353017], fitness: 0.030630147342393332
2025-05-11 15:57:50 [main] INFO  MRFOOptimizer - Iteration: 6, global best solution: [-0.003522803314359696, 0.00925865085353017], fitness: 0.030630147342393332
2025-05-11 15:57:50 [main] INFO  MRFOOptimizer - Iteration: 7, global best solution: [-0.003522803314359696, 0.00925865085353017], fitness: 0.030630147342393332
2025-05-11 15:57:50 [main] INFO  MRFOOptimizer - Iteration: 8, global best solution: [-0.003522803314359696, 0.00925865085353017], fitness: 0.030630147342393332
2025-05-11 15:57:50 [main] INFO  MRFOOptimizer - Iteration: 9, global best solution: [0.009462064628530576, -0.0021618823773084175], fitness: 0.02995905210518801
2025-05-11 15:57:50 [main] INFO  MRFOOptimizer - Iteration: 10, global best solution: [0.009462064628530576, -0.0021618823773084175], fitness: 0.02995905210518801
2025-05-11 15:57:50 [main] INFO  MRFOOptimizer - Iteration: 11, global best solution: [0.009462064628530576, -0.0021618823773084175], fitness: 0.02995905210518801
2025-05-11 15:57:50 [main] INFO  MRFOOptimizer - Iteration: 12, global best solution: [0.0038313025718734652, 0.006711948322442644], fitness: 0.023449215678799096
2025-05-11 15:57:50 [main] INFO  MRFOOptimizer - Iteration: 13, global best solution: [0.0038313025718734652, 0.006711948322442644], fitness: 0.023449215678799096
2025-05-11 15:57:50 [main] INFO  MRFOOptimizer - Iteration: 14, global best solution: [0.0038313025718734652, 0.006711948322442644], fitness: 0.023449215678799096
2025-05-11 15:57:50 [main] INFO  MRFOOptimizer - Iteration: 15, global best solution: [0.0038313025718734652, 0.006711948322442644], fitness: 0.023449215678799096
2025-05-11 15:57:50 [main] INFO  MRFOOptimizer - Iteration: 16, global best solution: [0.0038313025718734652, 0.006711948322442644], fitness: 0.023449215678799096
2025-05-11 15:57:50 [main] INFO  MRFOOptimizer - Iteration: 17, global best solution: [0.003443593026042635, -8.530019081084798E-5], fitness: 0.010058870739186876
2025-05-11 15:57:50 [main] INFO  MRFOOptimizer - Iteration: 18, global best solution: [0.003443593026042635, -8.530019081084798E-5], fitness: 0.010058870739186876
2025-05-11 15:57:50 [main] INFO  MRFOOptimizer - Iteration: 19, global best solution: [-2.679600984391538E-4, -8.625836861700003E-4], fitness: 0.0025764900281122216
2025-05-11 15:57:50 [main] INFO  MRFOOptimizer - Iteration: 20, global best solution: [-4.635781861202486E-5, 6.247235671518073E-4], fitness: 0.00178229299540833
2025-05-11 15:57:50 [main] INFO  MRFOOptimizer - Iteration: 21, global best solution: [-4.971938810262768E-4, -1.379826616883091E-4], fitness: 0.001466516751972069
2025-05-11 15:57:50 [main] INFO  MRFOOptimizer - Iteration: 22, global best solution: [-4.971938810262768E-4, -1.379826616883091E-4], fitness: 0.001466516751972069
2025-05-11 15:57:50 [main] INFO  MRFOOptimizer - Iteration: 23, global best solution: [-4.971938810262768E-4, -1.379826616883091E-4], fitness: 0.001466516751972069
2025-05-11 15:57:50 [main] INFO  MRFOOptimizer - Iteration: 24, global best solution: [-4.971938810262768E-4, -1.379826616883091E-4], fitness: 0.001466516751972069
2025-05-11 15:57:50 [main] INFO  MRFOOptimizer - Iteration: 25, global best solution: [-4.971938810262768E-4, -1.379826616883091E-4], fitness: 0.001466516751972069
2025-05-11 15:57:50 [main] INFO  MRFOOptimizer - Iteration: 26, global best solution: [-4.971938810262768E-4, -1.379826616883091E-4], fitness: 0.001466516751972069
2025-05-11 15:57:50 [main] INFO  MRFOOptimizer - Iteration: 27, global best solution: [-4.971938810262768E-4, -1.379826616883091E-4], fitness: 0.001466516751972069
2025-05-11 15:57:50 [main] INFO  MRFOOptimizer - Iteration: 28, global best solution: [-4.1506522657693196E-4, -5.961706894174525E-5], fitness: 0.0011907119532534871
2025-05-11 15:57:50 [main] INFO  MRFOOptimizer - Iteration: 29, global best solution: [-4.1506522657693196E-4, -5.961706894174525E-5], fitness: 0.0011907119532534871
2025-05-11 15:57:50 [main] INFO  MRFOOptimizer - Iteration: 30, global best solution: [-4.1506522657693196E-4, -5.961706894174525E-5], fitness: 0.0011907119532534871
2025-05-11 15:57:50 [main] INFO  MRFOOptimizer - Iteration: 31, global best solution: [-4.1506522657693196E-4, -5.961706894174525E-5], fitness: 0.0011907119532534871
2025-05-11 15:57:50 [main] INFO  MRFOOptimizer - Iteration: 32, global best solution: [-4.1506522657693196E-4, -5.961706894174525E-5], fitness: 0.0011907119532534871
2025-05-11 15:57:50 [main] INFO  MRFOOptimizer - Iteration: 33, global best solution: [-4.1506522657693196E-4, -5.961706894174525E-5], fitness: 0.0011907119532534871
2025-05-11 15:57:50 [main] INFO  MRFOOptimizer - Iteration: 34, global best solution: [-4.1506522657693196E-4, -5.961706894174525E-5], fitness: 0.0011907119532534871
2025-05-11 15:57:50 [main] INFO  MRFOOptimizer - Iteration: 35, global best solution: [-4.1506522657693196E-4, -5.961706894174525E-5], fitness: 0.0011907119532534871
2025-05-11 15:57:50 [main] INFO  MRFOOptimizer - Iteration: 36, global best solution: [-4.1506522657693196E-4, -5.961706894174525E-5], fitness: 0.0011907119532534871
2025-05-11 15:57:50 [main] INFO  MRFOOptimizer - Iteration: 37, global best solution: [8.10276462307716E-6, -9.453319094349501E-5], fitness: 2.68600351024606E-4
2025-05-11 15:57:50 [main] INFO  MRFOOptimizer - Iteration: 38, global best solution: [8.10276462307716E-6, -9.453319094349501E-5], fitness: 2.68600351024606E-4
2025-05-11 15:57:50 [main] INFO  MRFOOptimizer - Iteration: 39, global best solution: [8.10276462307716E-6, -9.453319094349501E-5], fitness: 2.68600351024606E-4
2025-05-11 15:57:50 [main] INFO  MRFOOptimizer - Iteration: 40, global best solution: [8.10276462307716E-6, -9.453319094349501E-5], fitness: 2.68600351024606E-4
2025-05-11 15:57:50 [main] INFO  MRFOOptimizer - Iteration: 41, global best solution: [8.10276462307716E-6, -9.453319094349501E-5], fitness: 2.68600351024606E-4
2025-05-11 15:57:50 [main] INFO  MRFOOptimizer - Iteration: 42, global best solution: [8.10276462307716E-6, -9.453319094349501E-5], fitness: 2.68600351024606E-4
2025-05-11 15:57:50 [main] INFO  MRFOOptimizer - Iteration: 43, global best solution: [8.10276462307716E-6, -9.453319094349501E-5], fitness: 2.68600351024606E-4
2025-05-11 15:57:50 [main] INFO  MRFOOptimizer - Iteration: 44, global best solution: [8.10276462307716E-6, -9.453319094349501E-5], fitness: 2.68600351024606E-4
2025-05-11 15:57:50 [main] INFO  MRFOOptimizer - Iteration: 45, global best solution: [8.10276462307716E-6, -9.453319094349501E-5], fitness: 2.68600351024606E-4
2025-05-11 15:57:50 [main] INFO  MRFOOptimizer - Iteration: 46, global best solution: [8.10276462307716E-6, -9.453319094349501E-5], fitness: 2.68600351024606E-4
2025-05-11 15:57:50 [main] INFO  MRFOOptimizer - Iteration: 47, global best solution: [8.10276462307716E-6, -9.453319094349501E-5], fitness: 2.68600351024606E-4
2025-05-11 15:57:50 [main] INFO  MRFOOptimizer - Iteration: 48, global best solution: [8.10276462307716E-6, -9.453319094349501E-5], fitness: 2.68600351024606E-4
2025-05-11 15:57:50 [main] INFO  MRFOOptimizer - Iteration: 49, global best solution: [8.10276462307716E-6, -9.453319094349501E-5], fitness: 2.68600351024606E-4
2025-05-11 15:57:50 [main] INFO  MRFOOptimizer - Iteration: 50, global best solution: [8.10276462307716E-6, -9.453319094349501E-5], fitness: 2.68600351024606E-4
2025-05-11 15:57:50 [main] INFO  MRFOOptimizer - Iteration: 51, global best solution: [8.10276462307716E-6, -9.453319094349501E-5], fitness: 2.68600351024606E-4
